118023000000.000000
num nets 1
3 5 -0.014353
3 8 -0.015130
3 9 -0.014930
3 10 -0.016265
3 12 -0.015259
6 14 -0.003714
6 15 -0.003735
6 16 -0.003728
6 17 -0.003708
6 18 -0.003746
6 19 -0.003742
6 20 -0.003727
6 21 -0.003803
6 22 -0.003749
6 23 -0.003709
35 44 -0.038559
37 44 -0.042404
38 44 -0.038048
41 44 -0.036628
42 44 -0.036380
43 44 -0.042401
35 45 -0.034521
37 45 -0.039409
38 45 -0.034362
41 45 -0.032740
42 45 -0.032604
43 45 -0.039103
35 46 -0.035773
37 46 -0.039398
38 46 -0.035444
41 46 -0.034074
42 46 -0.033779
43 46 -0.039585
35 47 -0.038215
37 47 -0.042544
38 47 -0.037972
41 47 -0.036099
42 47 -0.035973
43 47 -0.042083
35 48 -0.035586
37 48 -0.040446
38 48 -0.034993
41 48 -0.033243
42 48 -0.033103
43 48 -0.039898
35 49 -0.037776
37 49 -0.041296
38 49 -0.037444
41 49 -0.035892
42 49 -0.035427
43 49 -0.041416
35 50 -0.001795
37 50 0.005474
38 50 -0.002069
41 50 -0.003284
42 50 -0.003920
43 50 0.005542
35 51 -0.038110
37 51 -0.042422
38 51 -0.037635
41 51 -0.035933
42 51 -0.035966
43 51 -0.042168
35 52 -0.038220
37 52 -0.042279
38 52 -0.037699
41 52 -0.036167
42 52 -0.035790
43 52 -0.041709
35 53 -0.035927
37 53 -0.039767
38 53 -0.035515
41 53 -0.033538
42 53 -0.033624
43 53 -0.039699
0 0.000000
6 0.037360
35 0.334483
37 0.375439
38 0.331181
41 0.317600
42 0.316566
43 0.373604
